Start Date,End Date,Grand Prix,Circuit,Winner ID,Winner,Flag,Country,Event Link,Completed
2025-05-16T11:30Z,2025-05-18T13:00Z,AWS Made in Italy Emilia Romagna GP,Autodromo Enzo e Dino Ferrari,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600052051,True
2025-05-23T11:30Z,2025-05-25T13:00Z,Tag Heuer Monaco GP,Circuit de Monaco,5579,Lando Norris,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/600052052,True
2025-05-30T11:30Z,2025-06-01T13:00Z,Aramco Spanish GP,Madring,5752,Oscar Piastri,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,Australia,/f1/race/_/id/600052053,True
2025-06-13T17:30Z,2025-06-15T18:00Z,Pirelli Canadian GP,Circuit Gilles-Villeneuve,5503,George Russell,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/600052054,True
2025-06-27T11:30Z,2025-06-29T13:00Z,MSC Cruises Austrian GP,Red Bull Ring,5579,Lando Norris,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/600052055,True
2025-07-04T11:30Z,2025-07-06T14:00Z,Qatar Airways British GP,Silverstone Circuit,5579,Lando Norris,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/600052056,True
2025-07-25T10:30Z,2025-07-27T13:00Z,Moët & Chandon Belgian GP,Circuit de Spa-Francorchamps,5752,Oscar Piastri,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,Australia,/f1/race/_/id/600052057,True
2025-08-01T11:30Z,2025-08-03T13:00Z,Lenovo Hungarian GP,Hungaroring,5579,Lando Norris,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/600052058,True
2025-08-29T10:30Z,2025-08-31T13:00Z,Heineken Dutch GP,Circuit Park Zandvoort,5752,Oscar Piastri,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,Australia,/f1/race/_/id/600052059,True
2025-09-05T11:30Z,2025-09-07T13:00Z,Pirelli Italian GP,Autodromo Nazionale Monza,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600052060,True
2025-09-19T08:30Z,2025-09-21T11:00Z,Qatar Airways Azerbaijan GP,Baku City Circuit,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600052101,True
2025-10-03T09:30Z,2025-10-05T12:00Z,Singapore Airlines Singapore GP,Marina Bay Street Circuit,5503,George Russell,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/600052102,True
2025-10-17T17:30Z,2025-10-19T19:00Z,MSC Cruises United States GP,Circuit of the Americas,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600052103,True
2025-10-24T18:30Z,2025-10-26T20:00Z,Mexico City GP,Autodromo Hermanos Rodriguez,5579,Lando Norris,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/600052104,True
2025-11-07T14:30Z,2025-11-09T17:00Z,MSC Cruises São Paulo GP,Autodromo Jose Carlos Pace,5579,Lando Norris,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/600052105,True
2025-11-21T00:30Z,2025-11-23T04:00Z,Heineken Las Vegas GP,Las Vegas Street Circuit,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600052106,True
2025-11-28T13:30Z,2025-11-30T16:00Z,Qatar Airways Qatar GP,Losail International Circuit,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600052107,True
2025-12-05T09:30Z,2025-12-07T13:00Z,Etihad Airways Abu Dhabi GP,Yas Marina Circuit,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600052108,True
